"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"PLM00012566","BALICE, PL","2022-01-01","49","53",
"PLM00012566","BALICE, PL","2022-01-02","47","52",
"PLM00012566","BALICE, PL","2022-01-03","48","52","42"
"PLM00012566","BALICE, PL","2022-01-04","47",,"41"
"PLM00012566","BALICE, PL","2022-01-05","41","53",
"PLM00012566","BALICE, PL","2022-01-06","34","39",
"PLM00012566","BALICE, PL","2022-01-07","24","37",
"PLM00012566","BALICE, PL","2022-01-08","24","32","14"
"PLM00012566","BALICE, PL","2022-01-09","29","40",
"PLM00012566","BALICE, PL","2022-01-10","26",,"19"
"PLM00012566","BALICE, PL","2022-01-11","27","31","22"
"PLM00012566","BALICE, PL","2022-01-12","24",,"21"
"PLM00012566","BALICE, PL","2022-01-13","34",,"22"
"PLM00012566","BALICE, PL","2022-01-14","37","39","35"
"PLM00012566","BALICE, PL","2022-01-15","32","39",
"PLM00012566","BALICE, PL","2022-01-16","30","38","21"
"PLM00012566","BALICE, PL","2022-01-17","33",,
"PLM00012566","BALICE, PL","2022-01-18","31",,"27"
"PLM00012566","BALICE, PL","2022-01-19","31","37",
"PLM00012566","BALICE, PL","2022-01-20","33","38","22"
"PLM00012566","BALICE, PL","2022-01-21","27",,
"PLM00012566","BALICE, PL","2022-01-22","26",,"16"
"PLM00012566","BALICE, PL","2022-01-23","28",,"24"
"PLM00012566","BALICE, PL","2022-01-24","23","32",
"PLM00012566","BALICE, PL","2022-01-25","33","34","27"
"PLM00012566","BALICE, PL","2022-01-26","34",,"33"
"PLM00012566","BALICE, PL","2022-01-27","34",,
"PLM00012566","BALICE, PL","2022-01-28","35",,
